group,video_id,publishedAt,author,text,likeCount
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:59:48Z,@MeelyBieber,Le sserafim motomamiiiiis,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:58:54Z,@allygarska,<b>INDUSTRY TAKEOVER</b>,1
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:58:04Z,@naswacitrarevalina6716,slayyy,1
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:56:06Z,@venvop9674,we gonna wait another day for teaser 2 t-t I&#39;m so hyped!!!,3
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:55:45Z,@mess_mess_mess,わしはルセラフィムを応援し続ける覚悟があります,4
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:54:32Z,@zhamiradaffaandytra8185,pusing cakep-cakep mereka T__T,2
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:52:11Z,@vwiinterrb,KECEEE KECEEE ABIS!!,2
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:51:53Z,@vwiinterrb,keceee bgt woi,2
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:50:55Z,@soulmateofseulgi,"<a href=""https://www.youtube.com/watch?v=A4twVWwOueU&amp;t=8"">0:08</a> whats her name??",0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:49:47Z,@Problematicbaka,Bighits gonna surprise us again ✨,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:49:00Z,@feellikeacinderellanegabye9710,Can&#39;t wait for it ^^,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:48:21Z,@strawbunny0338,I LITERALLY CANT WAIT AHAHAHAHSHUS DISKSJS,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:47:24Z,@mireYANG97,"Si quieren lograr que las vistas suban por favor no postee el vídeo completo a plataformas como Twitter.... La gente lo ve ahí y ya no viene a YouTube. Solo suba una imagen y deje el enlace oficial, así la gente vendrá directo al video aquí!! <br>Haganlo bien por favor! Fighting 🌸",1
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:46:47Z,@pshev,AHHHH HERE TO WITNESS THEM DEBUT,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:46:34Z,@pshev,SCREAMINGGGGGG,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:45:55Z,@justincapon494,Sakuraaaaaa!!!!!! I&#39;m so excited,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:44:18Z,@jaylee7132,purrrr,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:43:56Z,@Garsaland,Son todas unas motomamis!,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:43:52Z,@vicsw08,"Wow, este teaser sí que genera curisosidad sobre la canción.",0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:41:24Z,@aiyuikimkkura6813,Cool girls,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:41:08Z,@victoriafelippe7200,맙소사 나는 이미 이것을 좋아했습니다!!!,1
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:40:53Z,@I_sureee,Sakura in the first part was fire🔥🔥🔥🔥🔥and the chore gonna be lit,8
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:38:21Z,@angelinapinto7738,IM SO EXCITED,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:38:06Z,@bluemoon9578,"<a href=""https://www.youtube.com/watch?v=A4twVWwOueU&amp;t=3"">00:03</a> I like the Cat Helmet, where can I get that?",0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:33:20Z,@featherdancing6396,Six Seraphim are descending to rule our hearts!,1
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:27:12Z,@غيمة-ب6ظ,the last scene  reminds me of the new gg h1key,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:25:45Z,@kimiko-san8426,I can&#39;t stop watch this 🤩,4
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:25:03Z,@4cgpa511,THIS LOOKS SO COOL I&#39;M OVER THE MOON,1
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:24:02Z,@mrs.sunlee,sakura omgg,0
LE SSERAFIM,A4twVWwOueU,2022-04-28T20:24:01Z,@YareAlmenabar01,Ese casco de la Motomami 😝,1
