group,video_id,publishedAt,author,text,likeCount
H1-KEY,imUUYMi2FXw,2022-01-05T15:00:13Z,@partytimata9079,ชอบมากเลยค่าา สวยเก่งทุกคน จิกกล้องแตกทุกคน เพลงดี ติดหูมากๆ ยังไงก็ขอฝากน้อง kep1er ด้วยนะคะ,3
H1-KEY,imUUYMi2FXw,2022-01-05T15:00:11Z,@TikTok-jx1cc,㋛︎,0
H1-KEY,imUUYMi2FXw,2022-01-05T15:00:08Z,@puangphetc.6246,เราว่าใช้ได้เลย นะ ชอบ ๆ จะเข้ามากดฟังบ่อย ๆ,0
H1-KEY,imUUYMi2FXw,2022-01-05T15:00:07Z,@bobbuloo,ลูกหนังเสียงเหมือนใช้ออโต้จูนมากกว่าคนอื่น แล้วทั้งmvก็ใส่ชุดเดิมสับไปสับมา,0
H1-KEY,imUUYMi2FXw,2022-01-05T15:00:06Z,@phiblp1623,The first girl group to debut in North Korea🥴,2
H1-KEY,imUUYMi2FXw,2022-01-05T14:59:19Z,@Mary-nw8ef,เพราะมากค่ะชัพพอร์ตเสมอนะคะ The weekend love u the weekend,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:59:13Z,@ดวงเดือนอังศุเกษตร,สมกับที่รอคอยเพลงเพราะเต้นดีปังมากไปโลด,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:58:55Z,@nadearsiriwat262,ทำไมท่าเต้นตลก? แอโรบิกปะ,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:58:51Z,@kethi3929,💜💜💜 👍🏻🤟🏻,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:58:51Z,@lineidpailee9711,ยอดวิว ต้อง ปังกว่า แบล็คพิงค์ นะครับ . ไม่งั้นคือ เสียศักดิ์ศรี มาก,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:58:41Z,@tanadtiewchannel,โอ้โห ปังมาก ฟังครั้งแรกเพลงติดหู เต้นดี แร๊พดี ไม่มีอะไรให้หักเลย 🤍🤍🤍🤍,12
H1-KEY,imUUYMi2FXw,2022-01-05T14:58:41Z,@MinlizeMin,รอใส่เสื้อเหลืองไปคอนอยู่นะงืออออ พร้อมโบกธงชาติให้ด้วยเลออออ ปังมาค่าาาาาา,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:58:28Z,@nxdanntp24,ถ้าเธอเห็นเม้นนี้ รู้มั้ยฉันควรมีอนาคตที่ดีกว่านี้🙂🙂🙂🙂 เพราะพ่อเธอทำให้คนไทยหลายคนจน เพราะพ่อเธอทำให้คนไทยหลายคนไม่มีอนาคต เธอก็ควรไม่มีอนาคตที่ดี 🤢🤢🤮🤮🤮🤮🤮🤮🤮,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:58:24Z,@twenty_Tt,หูวววว treasureจะคัมแล้ว👏🏻💎🥰,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:58:24Z,@pang_dnp9158,🤢🤢🤢🤢🤢🤢🤢🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮👎👎👎👎👎👎👎,3
H1-KEY,imUUYMi2FXw,2022-01-05T14:58:19Z,@alexjoess6945,โชว์ยอดดิสไลด์หน่อยสิ จะได้เห็นกันไปเลย,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:57:58Z,@TikTok-jx1cc,シ︎,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:57:48Z,@jaijaieiei_44,ชอบอะ เพลงเพราะมาก ชอบๆๆๆๆๆๆ เพราะที่สุด หูเคลือบทองคำเลย เต้นก็เก่ง โคตรปังเลย จะซัพพอร์ตพวกนายตลอดไปนะ enhypen&lt;33,19
H1-KEY,imUUYMi2FXw,2022-01-05T14:57:42Z,@sunghoonn._6621,ดีอ่ะ เอ็มวีก็ดี ชุดก็ดี เต้นก็ดีเราจะซัพพอร์ตBTSต่อไปนะ สู้ๆนะเป็นกำลังใจ😳,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:57:34Z,@Poundnie,หุ่นกับเต้นดีนะคะ เหมาะไปเป็นครูสอนเอโรบิกมากๆเลยค่ะ,2
H1-KEY,imUUYMi2FXw,2022-01-05T14:57:08Z,@คิมเบอรี่ส์แก้ว,Music video is so great. I love this song on my first listening.,16
H1-KEY,imUUYMi2FXw,2022-01-05T14:56:48Z,@เกตุกนกดวงมณี,เต็ม10ไม่หักค่าาาาาา จะคอยซับพอร์ตตลอดไปนะคะ BlackPink สู้ๆค่ะ เอ้าลืมมม ยังไม่คัมแบ็คเลอ,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:56:24Z,@nidtayajara2991,ปังมากค่าาารอคัมเพลงต่อไปนะคะBlackpinkขายของนานไปแล้วค่า,2
H1-KEY,imUUYMi2FXw,2022-01-05T14:56:06Z,@kcc297,ชอบค่ะ supportอยู่นะคะ treasure,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:55:49Z,@พัชรีภรณ์พระชะนะ-ฮ8ล,หน้าตาทุกคนดีมาก วิชวลสุดๆร้องก็ดีแร็ปก็เริ่ด ขอให้ปังๆวงดังขึ้นมีคนรู้จักเยอะๆนะคะ&quot; ENHYPEN &quot;,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:55:44Z,@thanawatyurawong1977,If only 3 people would be better,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:55:40Z,@siradasi6478,🤮🤮🤮🤮,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:55:28Z,@fuangfasiri,Blackpink forever,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:55:15Z,@Punsquare,เเงงท่าเต้นคือ ปัง mv คือปัง ทุกอย่างปัง วงitzy คือดีมากกกก,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:55:06Z,@miss_somsri6665,เพลงดี เราตามเพลงน้องใหม่จากการประกวดอยู่ แต่เพลงนี้มันดึงดูดกว่า คนละแบบ,0
