group,video_id,publishedAt,author,text,likeCount
IVE,--FmExEAsM8,2021-12-01T15:00:00Z,@kiseki2700,Wonyoung I love You,0
IVE,--FmExEAsM8,2021-12-01T14:59:53Z,@akiii7905,YALL I CAN&#39;T CHOOSE A BIASSS 😭😭😭,0
IVE,--FmExEAsM8,2021-12-01T14:59:50Z,@MinhAnh,So amazing ❤,288
IVE,--FmExEAsM8,2021-12-01T14:59:47Z,@brinaw5456,Yujin!!!!!!! Omg!!!! From Izone to Ive supporting you all the way!!!,0
IVE,--FmExEAsM8,2021-12-01T14:59:46Z,@ellensousa3037,Omg ameiiiii,0
IVE,--FmExEAsM8,2021-12-01T14:59:44Z,@eun4884,안녕즈ㅠㅠㅠㅠㅠ어떡해ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ너뮤....울 아가들이 어른이 됐어....ㅠㅠㅠㅠㅜㅜㅜㅠㅠㅠㅠㅠㅠㅠ아이고야 이 할미 이제 중3할래 응애 언니들 사랑해😍😍❤️❤️,1
IVE,--FmExEAsM8,2021-12-01T14:59:43Z,@leechan6920,전시안으로도배가됫네 아이즈원은 노래라도좋앗지,0
IVE,--FmExEAsM8,2021-12-01T14:59:39Z,@phuoctho6105,Wow,0
IVE,--FmExEAsM8,2021-12-01T14:59:35Z,@danielpeyrou,i knew i&#39;d be their number 1 stan since i saw the members&#39; pictures,1
IVE,--FmExEAsM8,2021-12-01T14:59:33Z,@eunnnnn6947,[12•01•21] Ive&#39;s debut day🎉🎉,1
IVE,--FmExEAsM8,2021-12-01T14:59:32Z,@sabotase3270,Lockey is here.Good Job IVE.Fighting,0
IVE,--FmExEAsM8,2021-12-01T14:59:29Z,@budibidu3995,"I think Ive and Kep1er have a little resemblance, their leader is Yujin, and their Maknae has almost the same name, Yeseo and Leeseo",0
IVE,--FmExEAsM8,2021-12-01T14:59:22Z,@anntimothy437,"DAAAMN starship entertainment is hella strict with their trainees but see the outcome😩 from the vocals to the dance moves, YALL FLOURISH!",0
IVE,--FmExEAsM8,2021-12-01T14:59:14Z,@idaa9270,FINALLY!! GO GO IVE,0
IVE,--FmExEAsM8,2021-12-01T14:59:09Z,@saputrailham3869,"3,735",1
IVE,--FmExEAsM8,2021-12-01T14:59:06Z,@darielle1934,Love,0
IVE,--FmExEAsM8,2021-12-01T14:59:04Z,@opsoncebr8541,"Leader Yujin, perfect like always 🤗✨ And all the girls are amazing, I loved 👏",0
IVE,--FmExEAsM8,2021-12-01T14:58:56Z,@sh3-shmarcellasimpati644,CONGRATS FOR THE DEBUT IVE!!,0
IVE,--FmExEAsM8,2021-12-01T14:58:54Z,@요니-r4h,I can&#39;t keep silent for their visuals omgbxgharjgfu,0
IVE,--FmExEAsM8,2021-12-01T14:58:48Z,@itsmejess3951,Wowwwww that&#39;s what came out of my mouth from the start it&#39;s so unique it&#39;s not dull at all,0
IVE,--FmExEAsM8,2021-12-01T14:58:38Z,@kyujbby6734,Annyeongz😍LOVE YOU BOTH,0
IVE,--FmExEAsM8,2021-12-01T14:58:36Z,@wkassi3,HERMOSAS,0
IVE,--FmExEAsM8,2021-12-01T14:58:35Z,@eunnnnn6947,Proud to witness their debut!!,0
IVE,--FmExEAsM8,2021-12-01T14:58:33Z,@Reiii12,AHHHHHHHHHH AHHHHHHHH!!!! YUJJIIIIINNN!!!!!!!! AHHHH😍😍😍,0
IVE,--FmExEAsM8,2021-12-01T14:58:28Z,@startotheship1747,"i love when wonyoung , rei , yujin and liz know how to use falsetto",0
IVE,--FmExEAsM8,2021-12-01T14:58:27Z,@wkassi3,ESTOY MUY FLEIZ,0
IVE,--FmExEAsM8,2021-12-01T14:58:24Z,@jaeyudbl,A MASTERPIECE!,0
IVE,--FmExEAsM8,2021-12-01T14:58:24Z,@々月,ずーっとビジュアル爆発してた。。。。きゃー😆,1
IVE,--FmExEAsM8,2021-12-01T14:58:23Z,@daylight1330,They are all sooo pretty but i don&#39;t like the music video but the girls slayed the song. Starship pls do better next time,1
IVE,--FmExEAsM8,2021-12-01T14:58:20Z,@aminaarontorresmartinez227,"Wonyoung sos una diosa total, amo tus expresiones y todos los conceptos te queda bien, liz hdm la voz que tenes preciosa, me encanta todo de vos El grupo em si está súper lindo, me encanta ver a Wonyoung y a Yujin haciendo re-debut nuevamente, ojala lleguen lejos ♥️😊",34
IVE,--FmExEAsM8,2021-12-01T14:58:18Z,@wkassi3,LAS AMO MUCHO,0
IVE,--FmExEAsM8,2021-12-01T14:58:16Z,@jjoanavitoria,SONG OF THE YEAR,0
IVE,--FmExEAsM8,2021-12-01T14:58:15Z,@iveaespashortsvideo5477,I&#39;m happy that Yujin and wonyoung are debuting again. Other girls are pretty too,3
IVE,--FmExEAsM8,2021-12-01T14:58:14Z,@cerena4436,ELEVEN,0
IVE,--FmExEAsM8,2021-12-01T14:58:09Z,@wkassi3,MIS NENAS,1
IVE,--FmExEAsM8,2021-12-01T14:58:02Z,@อักลีมาฮินนะ-ฆ9พ,Good,0
IVE,--FmExEAsM8,2021-12-01T14:58:01Z,@user-mt4zp6pf4f,It&#39;s so good I can&#39;t believe it&#39;s a debut song I hope they achieve what they deserve ☺️,1
IVE,--FmExEAsM8,2021-12-01T14:57:59Z,@mariajibran4622,Best debut of 2021! Ive saved the kpop industry!,1
IVE,--FmExEAsM8,2021-12-01T14:57:55Z,@wendyg.5389,Am I the only one who gets Rum PumPum vibes from the song? They sound similar,0
IVE,--FmExEAsM8,2021-12-01T14:57:55Z,@生日李惡,Rei is too cute 🥰,0
IVE,--FmExEAsM8,2021-12-01T14:57:55Z,@eunnnnn6947,VISUALS ✨ VOCALS ✨ CONCEPT ✨ CHOREOGRAPHY ✨,0
IVE,--FmExEAsM8,2021-12-01T14:57:52Z,@TikTok-jx1cc,💞SO PRETTY💞,1
IVE,--FmExEAsM8,2021-12-01T14:57:52Z,@jackylynligue6614,"Wooh, the vocals.. They all look gorgeous..",0
IVE,--FmExEAsM8,2021-12-01T14:57:52Z,@RaffSendico,i&#39;m in love with wonyoung sht,0
