group,video_id,publishedAt,author,text,likeCount
NMIXX,3GWscde8rM8,2022-02-22T15:00:01Z,@kidachan1764,"I like it and I really like Lily&#39;s voice, the MV also looks amazing! I look forward to seeing the performances because the choreography looks amazing!",0
NMIXX,3GWscde8rM8,2022-02-22T14:59:56Z,@ΑΡΗΣ-ω5π,Huh? I expected a little bit more,1
NMIXX,3GWscde8rM8,2022-02-22T14:59:56Z,@모카사랑-m2q,완전소름~~미쳤다~^ 두 장르의 절묘한 조화로 새로운 장르 탄생~~ 뮤직비디오는 완전 다른 레벨~ 타 걸그룹과는 비교가안되는 초초대박 걸그룹탄생이다,47
NMIXX,3GWscde8rM8,2022-02-22T14:59:56Z,@awww_.dreeja,The visuals of the MV though. Marvelous,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:55Z,@qez7895,"eu esqueci o nome de qndo um artista tem mta música e pouco tempo pra cantar todas então ele vai e faz um mix de 1minuto de cada música, é basicamente oqe eu senti vendo esse mv, parece 3 musicas de 1 minuto uma atrás da outra, bem confuso",0
NMIXX,3GWscde8rM8,2022-02-22T14:59:55Z,@Bloooooooooopp,JYP focused on the visuals way too much. It is a cool idea but..the other stuff like lyrics could be a lot better :( not hating on the group. JYP controls everything lol,2
NMIXX,3GWscde8rM8,2022-02-22T14:59:54Z,@faresaaulia2792,keren 💕🙏,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:53Z,@jongseong850,"the way they dance and sing are BOMB but the song.... idk, it&#39;s kinda random and very overwhleming that I don&#39;t even know what part am I listening 😭 i dont understand the meaning of the lyrics too",2
NMIXX,3GWscde8rM8,2022-02-22T14:59:48Z,@spaceman5004,WTF!!! 🤨,4
NMIXX,3GWscde8rM8,2022-02-22T14:59:46Z,@ven9192,"After streaming this for hours and getting more familiar with the flow, ngl I enjoyed this a lot now. I guess that&#39;s the downside of having a mix concept and it certainly not for everyone. I see a lot of ppl compare them to aespa here. I see the resemblence but nmixx &quot;mixed&quot; the parts more intense. Looking forward for their next nmixxed song :) &lt;3",3
NMIXX,3GWscde8rM8,2022-02-22T14:59:45Z,@jhonyzubiaga7772,Bat ako naguluhan,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:45Z,@lisaxirene4954,💙💙💙💙💙,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:44Z,@efff7342,TOO STRANGE A SONG,1
NMIXX,3GWscde8rM8,2022-02-22T14:59:43Z,@claudiabt27,people can like or hate it and i get it but you can&#39;t deny this is different and its causing a reaction for good or bad,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:40Z,@HAJIMAY,This remind anyone of “I got a boy” by SNSD? I love the different songs mixed together,1
NMIXX,3GWscde8rM8,2022-02-22T14:59:39Z,@ruthsteph,what is this,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:37Z,@ky9999,1:24 click here to skip to the good part😉,2
NMIXX,3GWscde8rM8,2022-02-22T14:59:36Z,@dshinc,Im still confuse at the concept but I hope next time the concept would be clearer.... FIGHTING NMIXX!!!,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:36Z,@abcdamnshittt,stay healty gadis kuat!!,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:34Z,@nichhha,begenmedim cok karisik:(,1
NMIXX,3GWscde8rM8,2022-02-22T14:59:32Z,@afessemammt8059,i didn’t understand,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:31Z,@teassister,the song isssss errrrrrr,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:30Z,@Buzzlightbear,This song gives me kwangya vibes,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:30Z,@tennifrias6417,"the amount of concept changes made me a bit nauseous. they have great vocals but i feel like jyp keeps ruining these groups potential. it’s so messy, their groups keep coming out with messy videos and songs, it’s hard to enjoy.",0
NMIXX,3GWscde8rM8,2022-02-22T14:59:28Z,@marialicialuzhuamanihidalg6141,"Mmmm....nop, ya la escuche como 5 veces y creo que no es de mi gusto🤷‍♀️ Sin embargo, seguiré hechandoles ojito para los próximos comeback , fighting 💕",0
NMIXX,3GWscde8rM8,2022-02-22T14:59:27Z,@lisaxirene4954,💚💚💚💚💚,0
