group,video_id,publishedAt,author,text,likeCount
YOUNITE,qSLSxZmkDcc,2022-04-20T14:59:57Z,@hola-gusanos,So cute,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:59:10Z,@mad_summer,Congratulations on your debut ❤️,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:59:07Z,@ryndrask,SFJFDGDTHFRGCDCC THIS IS GOOD!!!,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:58:44Z,@straykidult,aahhhh congrats on your debut!!,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:58:31Z,@foreunsangyounite574,youniz you did well 💙 younite you did well 💙,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:58:16Z,@foreunsangyounite574,YOUNIZ LET&#39;S HYPE FOR YOUNITE,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:57:06Z,@woojinpark7729,FIGHTING YOUNITE !!!!,1
YOUNITE,qSLSxZmkDcc,2022-04-20T14:52:30Z,@mantecayy,"Amoooo, es tan pegadiza jaja ai, el mv en general es interesante y entretenido, todo muy lindo &lt;3",1
YOUNITE,qSLSxZmkDcc,2022-04-20T14:51:42Z,@tegoshieunsang9579,Eunsaaaaang T_T,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:50:29Z,@Rennng,"Uno de los debut de que estaba esperandoooooooo, todo me encantoooo todo, ah!",2
YOUNITE,qSLSxZmkDcc,2022-04-20T14:49:59Z,@myeunsangromance5334,congrats my younite and good luck 💘💘,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:49:47Z,@myeunsangromance5334,younite will be so successful!!! 💘💘💘💘,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:47:34Z,@laalbertosaurio,younite = ult,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:43:57Z,@Itachi_Uchiha_Waifu,Happy Debut Day My Handsome Babies,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:43:14Z,@aperson3999,tbh i&#39;m only here because of eunsang but the song is nice. I hope they&#39;ll be successful.,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:40:51Z,@rio630,Kyungmun looks so sweet 😞✨,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:40:16Z,@lilisink2468,"FELICITACIONES POR SU DEBUT MIS NIÑOS, LES DESEO TODO LO MEJOR DEL MUNDO!!! Sooo, los amo demasiado y estoy muy orgullosa de todos ustedes ~ Psdt: Youniz no se olviden de hacer stream pero sin descuidarse, alimentense bien y cuídense muchísimo, so, las amo ♡",57
YOUNITE,qSLSxZmkDcc,2022-04-20T14:38:41Z,@ddannight,Who is the guys with the mole in right chin? i think i&#39;ve seen him somewhere,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:34:23Z,@itwillflows6590,Eunsanggg you did a great job. Congratulation for your third debut♥️,2
YOUNITE,qSLSxZmkDcc,2022-04-20T14:33:31Z,@laikuanlin1703,ROOKIE OF THE YEAR !!!,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:31:42Z,@민설랑,유나이트 데뷔 축하해!,1
YOUNITE,qSLSxZmkDcc,2022-04-20T14:30:29Z,@izzahhn6694,"Cute MV,finally you all made your debut👏🏻😃",0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:29:08Z,@younghoon222,BEBEKLERİMM,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:29:03Z,@younghoon222,bu hesaptan yorum yapmamışım,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:26:24Z,@irapuspita7937,Chukae for you debut today Lee Eunsang,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:26:05Z,@ndzx1it915,Congratulations for your debut guys!,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:24:49Z,@pau-hn9fv,CONGRATULATIONS ON YOUR DEBUT YOUNITE,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:24:27Z,@pau-hn9fv,YOUNITE ROTY LETS GO,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:24:18Z,@pau-hn9fv,I LOVE THIS SO MUCH,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:24:09Z,@pau-hn9fv,ESTÁ HERMOSO,1
YOUNITE,qSLSxZmkDcc,2022-04-20T14:24:04Z,@pau-hn9fv,LOS AMOOOOO,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:23:59Z,@pau-hn9fv,LOS ADORO,1
YOUNITE,qSLSxZmkDcc,2022-04-20T14:23:52Z,@nadskie8176,nonton ini karena direkomendasiin temen aku namanya nade lagunya easy listening choreographynya juga keren,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:23:09Z,@emilyla7000,slay fr,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:23:02Z,@lovelyinjun,Yay I’m so happy Eunsang has finally debuted in a group! STAN YOUNITE EVERYONE!,1
YOUNITE,qSLSxZmkDcc,2022-04-20T14:21:16Z,@wahtctwgctw,MY BOYS IM SO PROUD OF U THIS WAS SOO GOOD,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:21:00Z,@yoonivrse,i didn’t even hear about younite until today but this is so cute !! tbh this is one of my favorite 4th gen debuts :],0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:20:00Z,@nurinbat8013,SARANGHAE EUNSANGG!!!!!!,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:19:37Z,@aureliw,THIS IS SO CUTEEE😻😻,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:17:28Z,@hamsteral7479,adorable 🥺,0
YOUNITE,qSLSxZmkDcc,2022-04-20T14:16:39Z,@Hankyuz,keep streaming YOUNIZ,1
YOUNITE,qSLSxZmkDcc,2022-04-20T14:15:51Z,@thanhloan2251,my best friend really likes Eunsang and she&#39;s been looking forward to Eunsang&#39;s comeback~ hope Eunsang and YOUNITE will go on a flowery and super successful road~ Eunsang fighting (*≧∀≦*) YOUNITE fighting ٩( ᐛ )و,23
