group,video_id,publishedAt,author,text,likeCount
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:33Z,@ikhsanbaihaqi4879,FIGHTING 2M,2
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:32Z,@sui1502,みんなデビューおめでとう！ 2年半がんばろう！,1
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:28Z,@chochoaung-by5cp,Lovely ❤❤❤❤❤❤❤❤,1
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:28Z,@春娟顾,장호는 꽃이다.,0
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:25Z,@nsslaying,LET&#39;S GO ZEROSES FIGHTING ! &lt;3,2
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:25Z,@wisyamahira4487,WOAHH KREN BET GILAK,2
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:19Z,@currybee9307,Hanbin&#39;s highnoteee,1
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:17Z,@TheFoaudbi,Fighting zerose to 2M,3
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:15Z,@artloverrarts,OT9 ZB1 YOU GUYS ARE FUCKING AMAZING,1
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:14Z,@뿌링클에불닭추가,하 짜릿하다,1
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:11Z,@melty__cat,儚い感じがめっちゃいい,8
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:08Z,@giyuusanemi,letsgooo 2M,1
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:06Z,@artloverrarts,THE LYRICS ARE SO TOUCHING ... A TEAR TO MYE YE,0
ZEROBASEONE,trzeUClQIIg,2023-07-10T15:00:04Z,@deeeelll,BANGGA SAMA MEREKA KEREN! LAGUNYA EASY LISTENING BANGET,20
