group,video_id,publishedAt,author,text,likeCount
Kep1er,n0j5NPptyM0,2022-01-03T15:00:02Z,@miumiumiumim,CANTIK CANTIKKUU,0
Kep1er,n0j5NPptyM0,2022-01-03T15:00:02Z,@alicetantuan3127,Angas,0
Kep1er,n0j5NPptyM0,2022-01-03T15:00:01Z,@nanda-xr6tw,candu bgt lagunyaa,0
Kep1er,n0j5NPptyM0,2022-01-03T15:00:00Z,@byatrix,Kep1er gets 1 million subscribers in their debut song wow,2
Kep1er,n0j5NPptyM0,2022-01-03T14:59:51Z,@rockyescrew1257,Let’s get them their first win come on!!,0
Kep1er,n0j5NPptyM0,2022-01-03T14:59:50Z,@wowoumi6342,Xiaoting and Dayeon litterally took this era! 💖 &lt;3,0
Kep1er,n0j5NPptyM0,2022-01-03T14:59:50Z,@crazy_floof8535,AMOOOO,0
Kep1er,n0j5NPptyM0,2022-01-03T14:59:49Z,@user-in8rl7ql1h,Lets make it 4M!!!! Lets goooo K1paysss!!!!!,0
Kep1er,n0j5NPptyM0,2022-01-03T14:59:47Z,@yuramcovers.8967,"International gg with only 3 international members, mmm interesting, doesn&#39;t sound like any other group made by mnet",0
Kep1er,n0j5NPptyM0,2022-01-03T14:59:47Z,@aespakiyowo6868,Cantik euy,0
Kep1er,n0j5NPptyM0,2022-01-03T14:59:47Z,@Seraphxim,I REALLY LIKE THE RAP AND VOCALS PLUS DANCE 🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️,0
Kep1er,n0j5NPptyM0,2022-01-03T14:59:46Z,@beckeley757,They finally debuted😭😭,0
Kep1er,n0j5NPptyM0,2022-01-03T14:59:45Z,@tzuyuliu1810,Let&#39;s try to get to 10M in 24 hours,0
Kep1er,n0j5NPptyM0,2022-01-03T14:59:41Z,@ximenacontreras5091,Ay que lindaaaaaaaaas,1
Kep1er,n0j5NPptyM0,2022-01-03T14:59:40Z,@its_tyty,"I love the song! This is a great debut. But the line distribution is bad. How did Bahiyyih place 2nd and got no lines or screen time? Why are they doing my girl like thisssss. But anyway Xiaoting and Younguen were great too! We love to see it, the song is still a bop",2
Kep1er,n0j5NPptyM0,2022-01-03T14:59:40Z,@aespakiyowo6868,Xiaoting,0
Kep1er,n0j5NPptyM0,2022-01-03T14:59:37Z,@palomafaroppa8072,"el tan esperado debut aaaaaaaaa, estoy re contenta por las chicas, lo hiciero 1971293981279127/10.<br>la escenografía, los efectos, la coreo, la letra pegadiza, el vestuario, el concepto, todo esta tan bien armonizado que es agradable de ver&lt;3333.<br>    oficialmente puedo decir que soy fan de kep1er desde su debut.",21
