group,video_id,publishedAt,author,text,likeCount
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:58:10Z,@mariajibran4622,Their so STUNNING OMG,1
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:58:09Z,@heytherejenn,"This song is made for the runway! Im obsessed, all the girls look like models and their talent is unreal &lt;3",42
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:58:08Z,@lisaquinn3918,"Am I the only one who noticed BTS symbol....at the part <a href=""https://www.youtube.com/watch?v=4vbDFu0PUew&amp;t=111"">1:51</a>..... CONGRATULATIONS LE SSERAFIM ON UR DEBUT",1
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:58:08Z,@khwa03,I love the choreography &lt;3,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:58:04Z,@faristar2027,Просто одна из лучших дебюток и клип и песня все шикарно <br>А участницы красотки они все такие красивые ❤️,14
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:58:03Z,@afrin0126,I love the concept..<br>And costumes i really like it❤️,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:58:02Z,@haidardzulfikhar6525,Sakuraaaaaaaaaaa,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:56Z,@Clovdy.Skiies,This is so a powerful debut song!,1
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:56Z,@ashss2499,"La parte del coro seguro se vuelve viral, es una parte simple y pegadiza",0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:55Z,@zivannaszoa,💘💘💘,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:54Z,@imroeli,omgggggggggggg,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:52Z,@everybuddy3674,HAPPY EID MUBARAK &amp; YOUR DEBUT T____T,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:50Z,@zivannaszoa,💞💞💞,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:48Z,@wumutii,They slayeeed,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:48Z,@notyourbusiness000,Chaewon Mahal na talaga kita,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:47Z,@vncso3o,É MUITO LACRE EU TÔ PASSANDO MAL,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:45Z,@zivannaszoa,😍😍😍,0
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:44Z,@mariajibran4622,YES LESERRAFIM DEBUTTTT,1
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:43Z,@edogawac..,"La chanson est top, je kiffe la chanson.😋  Ils se sont surpasser pour un début!!🥰😍",1
LE SSERAFIM,4vbDFu0PUew,2022-05-02T14:57:41Z,@jaarjar4798,"Even if you thought it was okay, they still have a lot more potential since they’ve just started. And even though it’s not the most hyped song, I do like the overall quality, vibe, and sound. As well as their voices. Lower register vocals are underrated, so I like the direction of them using their lower register in certain parts. It suits them. This vibe is bit refreshing too considering more female groups are doing dark hip hop/edm these days. So its’ not a bad start for Le Sserafim. Looking forward to more of them in the future.",93
