group,video_id,publishedAt,author,text,likeCount
RIIZE,iUw3LPM7OBU,2023-09-04T15:00:19Z,@kennethliu5681,2m,3
RIIZE,iUw3LPM7OBU,2023-09-04T15:00:16Z,@votemama4058,happy 2m,3
RIIZE,iUw3LPM7OBU,2023-09-04T15:00:03Z,@properplant6227,Happy 2M,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:48Z,@dododaici6635,Aaaa i love it,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:48Z,@nanakazu,やっぱり、たろちのバキバキのダンス大好き❤,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:38Z,@ristiwidiastiti7436,Suara si batu masyaalllaaahhh 😮,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:35Z,@Unaay11,Woah 2M. 3M let&#39;s go 🔥,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:33Z,@reynagisa,wonbin kenapa suaranya tipe2 kek haechan suka bangett mana banyak adlibnya mayan juga,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:33Z,@diannejoyce6603,Congrats on your debut RIIZE ♡♡♡♡♡♡♡,7
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:15Z,@shimaa7111,sunz streammmm,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:13Z,@oceta_,sooooooour refreshing,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:06Z,@soledadcolque3895,❤algo nuevo y refrescante a la vez,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:03Z,@ljjl4529,"<a href=""https://www.youtube.com/watch?v=iUw3LPM7OBU&amp;t=102"">1:42</a> this trio 🧡",2
RIIZE,iUw3LPM7OBU,2023-09-04T14:59:02Z,@emilyortiz9695,The music is very addictive 😭,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:57Z,@loveseunghannie,Seunghan You did it,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:56Z,@hasyaahasnaa,WONBIN.,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:46Z,@shiikwon,their vocals omggg,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:43Z,@auralitaainnayah1861,HUHUHUHUHU KEREN BANGETTT 😭😭😭😭😭😭❤️❤️❤️❤️❤️,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:38Z,@ポリエステル-r8m,RIIZEは止まらねぇぇぜぇぇ！！！！！,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:25Z,@Vagabonding_i_guess,This is such a refreshing sound for kpop! Love it!,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:24Z,@ai-rs3fo,ショウタロウ、デビューおめでとう！この日まで長かったけど、その分これから沢山の幸せが訪れますように！<br>ショウタロウのダンスが大好きです♪,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:23Z,@silverilisa,"For the new fans —<br><br><a href=""https://www.youtube.com/watch?v=iUw3LPM7OBU&amp;t=2"">0:02</a> Wonbin. Center, visual, dancer<br><a href=""https://www.youtube.com/watch?v=iUw3LPM7OBU&amp;t=10"">0:10</a> Eunseok. Vocalist, visual<br><a href=""https://www.youtube.com/watch?v=iUw3LPM7OBU&amp;t=19"">0:19</a> Seunghan. All rounder<br><a href=""https://www.youtube.com/watch?v=iUw3LPM7OBU&amp;t=28"">0:28</a> Sohee. Main vocal<br><a href=""https://www.youtube.com/watch?v=iUw3LPM7OBU&amp;t=45"">0:45</a> Shotaro. Main dancer<br><a href=""https://www.youtube.com/watch?v=iUw3LPM7OBU&amp;t=54"">0:54</a> Sungchan. Main rapper<br><a href=""https://www.youtube.com/watch?v=iUw3LPM7OBU&amp;t=93"">1:33</a> Anton. Maknae.<br><br>The fandom name is sunz.",3
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:18Z,@micastical,‘yan ang wowed,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:05Z,@husnaharahap4568,get get get get a guitar,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:04Z,@nauradesti2367,"Wahhh congratulation for your debut guyss, the song is very easy listening and very suitable to listen to while relaxing, your appearance is also cool in the MV. I hope to see your performance live on stage",5
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:02Z,@liagasm,LOS AMO MUCHO ESTOY MUY ORGULLOSA T AMO SHOTARO!!,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:58:00Z,@nanakazu,みんなデビューおめでとう🎉,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:59Z,@runitapratiwi6364,"Make this trending😎😎😎, so happy RIIZE debut🥳🥳🥳🥳",0
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:58Z,@k.alexia4112,is it just me or this song feels like a breath of fresh air? i can&#39;t stop smiling !! congrats on your debut ^^,78
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:55Z,@jjongtyongf,TODO SUCESSO DO MUNDO MENINOS💗💗💗💗💗💗,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:52Z,@kimiko-san8426,Sound like EXO old songs !,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:51Z,@halmalham,곡 진짜 잘 뽑았다 소녀시대 이후 최고의 데뷔곡,16
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:44Z,@lydias.9210,The INXS interpolation got me ❤,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:41Z,@bbimeeee,Wowwww let&#39;s get 2M,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:37Z,@minminute,ackkkkk wonbin guitarist,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:29Z,@marsasunanditaa,CONGRATS FOR YOUR DEBUT BOYS ! <br>LETS RIIZE TOGETHER✨✨✨,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:28Z,@srishtis5823,Congratulations on your debut RIIZE..... Let&#39;s rise and realize our dreams together.....,88
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:28Z,@indrayhs2033,Congratulation boys!!!!!!,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:28Z,@echaneah,CONGRATULATIONS ON YOUR DEBUT RIIZEEEEEEEEE !!!!! SUNGTARO YOU DID WELL 🥹🫶🏻 and for now seunghan and wonbin…. AM I GOING TO TURN TO THEM ??? Freaking cool 😭😭😭😭😭😭,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:17Z,@riyeariye,sungchan isiririm seni,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:17Z,@reina2897,Felicidades chicos por su debut 🎉🎉🎉🎉,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:57:14Z,@glrgnc,"All the members are so talented and amazing. But Wonbin must be crazy. What a visual, aura, dance. I can&#39;t take my eyes off him and want to watch it over and over again.",43
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:51Z,@imzizi02,Sungtaro my precious boys you&#39;re really made it,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:48Z,@celine-.-.,Woahhh SUNZ We&#39;ve exceeded our target of 5 hours a day. This is legendd🧡,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:48Z,@wannabegood1268,akan ku streaming sampe 100jt !!!,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:47Z,@perfectstrangers-be2vy,i love their harmony ❤❤❤,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:41Z,@rio9757,Insane🖤!!!,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:19Z,@mochijwii_1446,"congratss boyyy❤<br>buna akan selalu mendukung kaliannn, lope banyak banyakk, sukses selaluu❤",1
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:10Z,@syaa2425,OT7 FOREVEERRRR!!!,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:09Z,@wwtrmelon,fightinggg riiizeee 💪🏻🥰,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:04Z,@imzizi02,RIIZ SAID GET A GUITAR SO IM GONNA GET ONE<br>I&#39;m actually won&#39;t cz I&#39;m broke 🫡🤫,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:01Z,@yy5838,ウォンビン優勝,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:56:00Z,@btokki11,Congratulations riize!!<br>&amp;<br>my ult new bias is sohee^^,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:55Z,@favoritejohnny5351,eunseok&#39;s first line got me!!,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:55Z,@Gurkhay,POV : SM when aespa disbanded 📉,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:46Z,@syaa2425,so much proud of youu !!,0
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:43Z,@soo-dx2zm,2M Let&#39;s go🧡🧡🧡🧡,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:40Z,@zhivaprasetya4412,"alhamdulillah debut jugaa, selamat atas debutnya RIIZE, tetap semangat streamingnya SUNZ, enak banget lohh lagunyaaa",150
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:31Z,@lynerpynn_6816,"The realllll lagu keren ya ini, thank youuu staff dan riizeeee",3
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:29Z,@nangmoe5210,2 M go go,5
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:25Z,@skzlover9423,SUNZ RIIZE ~~ LET&#39;S GET IT !!,4
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:23Z,@doo_anna,"행복한 데뷔하세요! 착한 아이들, 잘생긴 아이들, 노래도 잘하고 춤도 잘추는 아이들! 건강 조심하시고 성장하세요! 나는 너를지지 해! 사랑해요!",42
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:21Z,@bositqayumov2815,Омайгаааад я умираю от их таланта,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:10Z,@lynerpynn_6816,Seunghan ganteng bangett,4
RIIZE,iUw3LPM7OBU,2023-09-04T14:55:06Z,@yakinbisa6592,Target views brp gaes?,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:54:56Z,@valshava1229,My boy,1
RIIZE,iUw3LPM7OBU,2023-09-04T14:54:38Z,@pinkblush8798,I LOVE THE 80s VIBE!! THIS SONG IS BOP,4
RIIZE,iUw3LPM7OBU,2023-09-04T14:54:33Z,@intmimosa1435,Better than I expected 😮❤,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:54:32Z,@lynerpynn_6816,Sungchan suara nya keren banget,3
RIIZE,iUw3LPM7OBU,2023-09-04T14:54:22Z,@BrendaHernandez-xu4us,"MalditaseaSM, ya hiciste que me guste otro grupo de kpop de tu empresa",2
RIIZE,iUw3LPM7OBU,2023-09-04T14:54:20Z,@imzizi02,Their vocals are so insane frrrrr,4
RIIZE,iUw3LPM7OBU,2023-09-04T14:54:06Z,@ppopsyp,Sungchan shotaro!!!🎉🎉🎉 <br>Congrats to all the boys,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:54:03Z,@nwaynway1366,VERY NICE I LIKE THIS SONG😍,2
RIIZE,iUw3LPM7OBU,2023-09-04T14:54:01Z,@lala_kaorichu,A group of main dancers? I STAN.,3
