group,video_id,publishedAt,author,text,likeCount
TNX,4C7xGubTL90,2022-05-17T15:00:01Z,@mahyaabed9551,keep going!,1
TNX,4C7xGubTL90,2022-05-17T14:59:54Z,@odizujuned1997,Omg,1
TNX,4C7xGubTL90,2022-05-17T14:59:51Z,@Pikaachu_28,데뷔 추카해용 ^^♡,2
TNX,4C7xGubTL90,2022-05-17T14:59:47Z,@area078,I LIKE IT,3
TNX,4C7xGubTL90,2022-05-17T14:59:46Z,@mahyaabed9551,love this song this is so goooodd,3
TNX,4C7xGubTL90,2022-05-17T14:59:37Z,@lalaland7663,"No puedo dejar de ver el mv, es todo increíble. Amo los visuales, la música, los vocales, el rap, a los miembros, la coreografia es asombrosa!. PNation deberia de ser la mejor empresa, es única y no intenta copiarse de los demás. TNX va tener éxito!! Siendo único a su estilo",2
TNX,4C7xGubTL90,2022-05-17T14:59:34Z,@user-vx6zq8kw8q,Let&#39;s stream guys,3
TNX,4C7xGubTL90,2022-05-17T14:59:34Z,@My_nikkiruby3114,"Meu deus isso está muito bom, meninos vocês são incríveis e muitos talentosos, boa sorte!!",19
TNX,4C7xGubTL90,2022-05-17T14:59:34Z,@area078,THIS IS A MASTERPIECE,3
TNX,4C7xGubTL90,2022-05-17T14:59:33Z,@wassanakansap8799,มันดี~~  แงง​ เด็กๆเก่งมากๆๆๆ,2
TNX,4C7xGubTL90,2022-05-17T14:59:32Z,@mahyaabed9551,omggg,1
TNX,4C7xGubTL90,2022-05-17T14:59:31Z,@aimwhay,going on my way,2
TNX,4C7xGubTL90,2022-05-17T14:59:18Z,@area078,WOW,1
TNX,4C7xGubTL90,2022-05-17T14:59:09Z,@alyxxisdenalynmansilita961,THE POTENTIAL OF THIS ROOKIE GROUP! hands down to Psy and PNation😭😭,3
TNX,4C7xGubTL90,2022-05-17T14:59:07Z,@roman--stkzl,"What an addictive song, it&#39;s amazing, their dance is so powerful, I love everything.",10
TNX,4C7xGubTL90,2022-05-17T14:58:51Z,@annnaosso,Increible debut! Exito !!!,4
TNX,4C7xGubTL90,2022-05-17T14:58:49Z,@ブルゾンチラミ,いいよ。LOUDからデビュー‼️<br>楽しみ楽しみ❣️,2
TNX,4C7xGubTL90,2022-05-17T14:58:45Z,@kosolngern,stan talent stan TNX,2
TNX,4C7xGubTL90,2022-05-17T14:58:41Z,@181_apriliapratiwikirani6,bikyora bikyoooooooooooooooo,2
TNX,4C7xGubTL90,2022-05-17T14:58:25Z,@Freakyyvesyushi,At the start why did they put so much Autotune on,0
TNX,4C7xGubTL90,2022-05-17T14:58:25Z,@annnaosso,La canción es increible!!,2
TNX,4C7xGubTL90,2022-05-17T14:58:17Z,@himawanhito415,Kurang ledakan.. dari musiknya,0
TNX,4C7xGubTL90,2022-05-17T14:58:14Z,@belghithmayssa9902,Wooowww,1
TNX,4C7xGubTL90,2022-05-17T14:58:13Z,@chxr_muzor8021,ปังมาก 5ชั่วโมง2.3แสนวิว 1ล้านวิวต้องมาแล้ว,0
TNX,4C7xGubTL90,2022-05-17T14:58:05Z,@Nurulhid7,KEEP STREAMING ALL,1
TNX,4C7xGubTL90,2022-05-17T14:57:57Z,@aimwhay,congrats on your debut,1
TNX,4C7xGubTL90,2022-05-17T14:57:53Z,@ziqahariff7456,just MASTERPIECE,1
TNX,4C7xGubTL90,2022-05-17T14:57:51Z,@あまね-d3u,ソンジュン推します,0
TNX,4C7xGubTL90,2022-05-17T14:57:42Z,@insiderpjs7104,Damn eunhwi&#39;s rap is SO GOOD,4
TNX,4C7xGubTL90,2022-05-17T14:57:40Z,@kkkkkauas2,sungjuj eu te amo pohaaaa,1
TNX,4C7xGubTL90,2022-05-17T14:57:33Z,@nyx7408,BEST DEBUT EVER WTFFF,1
TNX,4C7xGubTL90,2022-05-17T14:57:25Z,@kkkkkauas2,mds o começo AAAAAAAAAAAAAA,2
TNX,4C7xGubTL90,2022-05-17T14:57:24Z,@yardniea176,Our Precious Treasures coming out,1
TNX,4C7xGubTL90,2022-05-17T14:57:14Z,@miseryinsolitude,um,0
TNX,4C7xGubTL90,2022-05-17T14:57:10Z,@diannakp8830,this was incredible..🤯,1
TNX,4C7xGubTL90,2022-05-17T14:57:09Z,@aimwhay,move move move,1
TNX,4C7xGubTL90,2022-05-17T14:57:05Z,@cirlaynemartins60,AMAZING ❤️❤️,1
TNX,4C7xGubTL90,2022-05-17T14:56:58Z,@aimwhay,wowww,1
TNX,4C7xGubTL90,2022-05-17T14:56:54Z,@urlabirin,"Yeayy dah debut anak loud, tinggal nunggu jyp loud. Proud bangett ❤",1
TNX,4C7xGubTL90,2022-05-17T14:56:48Z,@mauidelacuesta644,STREAM,1
TNX,4C7xGubTL90,2022-05-17T14:56:42Z,@ainemelin,AWESOME🤩,1
TNX,4C7xGubTL90,2022-05-17T14:56:36Z,@jochelaudadio4401,OMO!!!!!!,1
TNX,4C7xGubTL90,2022-05-17T14:56:36Z,@FrLyFr,"ANOTHER SUPREME DEBUT , SLAYYYY!!",1
TNX,4C7xGubTL90,2022-05-17T14:56:16Z,@jenni6073,😮‍💨🤟,0
TNX,4C7xGubTL90,2022-05-17T14:55:58Z,@diannakp8830,"congrats on your debut, guys! ❤",1
TNX,4C7xGubTL90,2022-05-17T14:55:48Z,@st4r.girl_x0,"THE BEST SONG DEBUT, I LOVE THIS SONG, THE LYRICS, VISUALS AND VOCALS ARE AMAZING.😻🥺",7
TNX,4C7xGubTL90,2022-05-17T14:55:44Z,@nibel7298,Bagus banget,2
TNX,4C7xGubTL90,2022-05-17T14:55:39Z,@watanabeee,Huhuuuuu Banga banget sama mereka<br>Udah debut ajaaaa<br>Mana keren banget lagi konsep MV nya<br>Gak pernah bosen dih nonton ini berkali kali<br>HAYUUUUUKK STAN TNX KEREEEN BANGEEEETTT!!!!!,1
TNX,4C7xGubTL90,2022-05-17T14:55:38Z,@Beombear_0,"Yesss I knew they weren&#39;t going to disappoint, I&#39;m so proud of how far they have come and of course they slayed omg",23
TNX,4C7xGubTL90,2022-05-17T14:55:28Z,@pizazzy,i saw an ad for the teaser yesterday so here i am,1
TNX,4C7xGubTL90,2022-05-17T14:55:12Z,@dayanacastellon1585,Espere mucho por esto😭😭😭😭<br>Muchas felicidades mis niños😭😭😭❤❤❤❤❤❤❤❤❤❤,1
TNX,4C7xGubTL90,2022-05-17T14:55:00Z,@chiocrespo8939,Como qur me estan haciendo ojitos,2
TNX,4C7xGubTL90,2022-05-17T14:54:59Z,@ilysuhaily285,THEY SLAYEDD!!,1
TNX,4C7xGubTL90,2022-05-17T14:54:48Z,@aekokts,Masterpiece!!!!,1
TNX,4C7xGubTL90,2022-05-17T14:54:34Z,@lolaskibsboogg9507,love it for real!!,1
TNX,4C7xGubTL90,2022-05-17T14:54:32Z,@watanabeee,HUWAAAAAAAAAAAAAAAAAA KALIAN KEREN BANGET PLIIIISSS,1
TNX,4C7xGubTL90,2022-05-17T14:54:32Z,@OfficialTiffanyY,Junhyeok vocal,1
TNX,4C7xGubTL90,2022-05-17T14:54:19Z,@ivonnerengel7194,La espera valió la pena muy orgullosa de ustedes sin duda ustedes brillaron y se comieron la corona 👑,1
TNX,4C7xGubTL90,2022-05-17T14:54:17Z,@Camilaafrancoo,🔥🔥🔥🔥,1
TNX,4C7xGubTL90,2022-05-17T14:54:16Z,@watanabeee,GAK PERNAH BOSEN BUAT NONTON BERULANG ULANG NIH MV,2
TNX,4C7xGubTL90,2022-05-17T14:54:14Z,@quesitodamemi9439,Q gran debut 😎👌,1
TNX,4C7xGubTL90,2022-05-17T14:54:11Z,@nelvi_7,Junhyeok i love u !,1
TNX,4C7xGubTL90,2022-05-17T14:53:57Z,@dabestgurlukno,🤩🤩🤩🤩🤩,1
TNX,4C7xGubTL90,2022-05-17T14:53:47Z,@rickystay2523,"Eles são um grupo completo de garotos!! Os vocais, o rap, suas habilidades de dança são tão incríveis!!",10
TNX,4C7xGubTL90,2022-05-17T14:53:47Z,@itsglxsyy,TA MTO BOOOM,1
TNX,4C7xGubTL90,2022-05-17T14:53:44Z,@watanabeee,CANDU BANGET GAK BOSEN DARITADI NONTON MV NYA,2
TNX,4C7xGubTL90,2022-05-17T14:53:41Z,@wulanaisyah3348,Perface🤗💞💞💞,1
TNX,4C7xGubTL90,2022-05-17T14:53:38Z,@nisanisa6145,PLEASE SUPPORT TNX,0
TNX,4C7xGubTL90,2022-05-17T14:53:20Z,@itsglxsyy,Eita bbs,0
TNX,4C7xGubTL90,2022-05-17T14:53:18Z,@tvhomelove1585,Wooooooow look at my boys,1
TNX,4C7xGubTL90,2022-05-17T14:53:16Z,@babyhyunsuk9676,Kyungjun deep voice OMG😱 😍,0
TNX,4C7xGubTL90,2022-05-17T14:53:14Z,@watanabeee,Bangga banget sama TNX huhuuuu gak kerasa udah debut ajaaaa mana konsep nya keren banget paraaaaah,1
TNX,4C7xGubTL90,2022-05-17T14:53:09Z,@lunadessireegonzalezcruz6169,ME ENCANTAAAA,1
TNX,4C7xGubTL90,2022-05-17T14:52:59Z,@z.l.a.t.i,Nice meeting you TNX! Wishing you success! &lt;3,0
TNX,4C7xGubTL90,2022-05-17T14:52:57Z,@nya963,Temazo,0
TNX,4C7xGubTL90,2022-05-17T14:52:49Z,@elsyegoigwe,Beautiful <br>I wish you guys good luck and success on way up 🌹🌹,0
TNX,4C7xGubTL90,2022-05-17T14:52:47Z,@tvhomelove1585,Oh my God - - - -,0
TNX,4C7xGubTL90,2022-05-17T14:52:42Z,@byatrix,Looks like I have to stan them rn lol,2
TNX,4C7xGubTL90,2022-05-17T14:52:39Z,@thun.5321,looooooooooooooooove it,0
TNX,4C7xGubTL90,2022-05-17T14:52:33Z,@01o3s,THE CHOREO IS SO SATISFYING,24
TNX,4C7xGubTL90,2022-05-17T14:52:33Z,@watanabeee,YUK STAN TNX KEREEEN BANGEEEETTT!!!!,1
TNX,4C7xGubTL90,2022-05-17T14:52:30Z,@fauziraazzahra3128,"akhirnyaaa GANTENGG BANGETTT, LAGUNYA BAGUSS!!",0
TNX,4C7xGubTL90,2022-05-17T14:52:23Z,@zairions2786,Great start guys 👏👏👏<br> I really really love it ❤️❤️<br>Good luck in your journey<br>Fighting 💪💪,0
TNX,4C7xGubTL90,2022-05-17T14:52:23Z,@thun.5321,finally,0
TNX,4C7xGubTL90,2022-05-17T14:52:21Z,@ramekara3109,"Feeling like a proud mom watching her sons doing a great job😅 👏 👍 🙌 😀 💚💖 keep going guys, keep going! You rock it 😊",0
TNX,4C7xGubTL90,2022-05-17T14:52:17Z,@nenenguswatun184,Kerenn ❤️❤️❤️,0
TNX,4C7xGubTL90,2022-05-17T14:52:13Z,@michelecaroline8959,"Aeeee mais um grupo para eu iludir e ficar apaixonadaaaa, amei esse debut aaaaaa",0
TNX,4C7xGubTL90,2022-05-17T14:52:07Z,@watanabeee,MV DEBUT NYA KEREN BANGET AYUK STAN TNX!!!!,2
TNX,4C7xGubTL90,2022-05-17T14:52:04Z,@lazl885,💖💖💖💖💖💖💖💖,0
TNX,4C7xGubTL90,2022-05-17T14:51:50Z,@ilovekpop6489,My husband look so good,0
TNX,4C7xGubTL90,2022-05-17T14:51:18Z,@nyeinthiaaye1521,good.,0
TNX,4C7xGubTL90,2022-05-17T14:51:12Z,@BooksOrBeasts,So good 💜❤️ Happy Debut boys,0
TNX,4C7xGubTL90,2022-05-17T14:50:57Z,@Nugo-fu4di,belum ada di spotify  yah?,0
TNX,4C7xGubTL90,2022-05-17T14:50:53Z,@azucaramargo2592,Muy buena canción y nuevo grupo que stanear,0
TNX,4C7xGubTL90,2022-05-17T14:50:47Z,@왜그래요-x3t,노래 조카 내스타일이다...,0
TNX,4C7xGubTL90,2022-05-17T14:50:40Z,@muhamadizwan2620,Waiting jessi do this! Lessgo our boys,0
TNX,4C7xGubTL90,2022-05-17T14:50:20Z,@sevoo9176,Debut şarkıları bu ise ilerisini düşünemiyorum 🤯🥳,0
TNX,4C7xGubTL90,2022-05-17T14:50:01Z,@denikwahyuningrum9670,SHOULD BE TRENDING GUYS !! 🔥,0
TNX,4C7xGubTL90,2022-05-17T14:50:01Z,@Misfitdruid,I&#39;ve just acquired 6 more nephews haven&#39;t I? Whelp.,0
TNX,4C7xGubTL90,2022-05-17T14:49:56Z,@oensh05,wow!! what a ride… these monster Rookies isssss coming!!!,0
TNX,4C7xGubTL90,2022-05-17T14:49:56Z,@doglove-nn7dn,かっこいい,0
TNX,4C7xGubTL90,2022-05-17T14:49:42Z,@deborafarias4742,"WOWWWW, quede sorprendida, gran grupo!! Espero con ansias su próximos proyectos",0
TNX,4C7xGubTL90,2022-05-17T14:49:42Z,@sevoo9176,"Sözleri, visualleri, ritimleri, tatlılıkları... Hepsi çok güzellllll",0
TNX,4C7xGubTL90,2022-05-17T14:49:42Z,@cyacyan,SLIDING ON THE WALL WITH TEARS IVE BEEN WAITING FOR THIS SINCE FOREVER,0
TNX,4C7xGubTL90,2022-05-17T14:49:38Z,@Ali_ch651,😊estoy muy feliz de que por fin debutaron😍,0
TNX,4C7xGubTL90,2022-05-17T14:49:35Z,@afmilladwixmipa3287,Seneng bgt akhirnya debut juga huhu pgn nangis,2
